Year,Number,CrimeType,,,,,,,,,Criminal Damage,Drugs,Fraud or Forgery,Other Notifiable Offences,Robbery,Sexual Offences,Theft and Handling,Violence Against The Person
2012-05,3038,Robbery,,,,,,,,,,,,,,,,
2012-06,3007,Robbery,,,,,,,,,,,,,,,,
2012-07,2997,Robbery,,,,,,,,,,,,,,,,
2012-08,2685,Robbery,,,,,,,,,,,,,,,,
2012-09,2710,Robbery,,,,,,,,,,,,,,,,
2012-10,2859,Robbery,,,,,,,,,,,,,,,,
2012-11,3064,Robbery,,,,,,,,,,,,,,,,
2012-12,2914,Robbery,,,,,,,,,,,,,,,,
2013-01,2727,Robbery,,,,,,,,,,,,,,,,
2013-02,2332,Robbery,,,,,,,,,,,,,,,,
2013-03,2609,Robbery,,,,,,,,,,,,,,,,
2013-04,2281,Robbery,,,,,,,,,,,,,,,,
2013-05,2403,Robbery,,,,,,,,,,,,,,,,
2013-06,2400,Robbery,,,,,,,,,,,,,,,,
2013-07,2701,Robbery,,,,,,,,,,,,,,,,
2013-08,2596,Robbery,,,,,,,,,,,,,,,,
2013-09,2468,Robbery,,,,,,,,,,,,,,,,
2013-10,2450,Robbery,,,,,,,,,,,,,,,,
2013-11,2412,Robbery,,,,,,,,,,,,,,,,
2013-12,2046,Robbery,,,,,,,,,,,,,,,,
2014-01,2174,Robbery,,,,,,,,,,,,,,,,
2014-02,1887,Robbery,,,,,,,,,,,,,,,,
2014-03,1883,Robbery,,,,,,,,,,,,,,,,
2014-04,1729,Robbery,,,,,,,,,,,,,,,,
2014-05,1817,Robbery,,,,,,,,,,,,,,,,
2014-06,1842,Robbery,,,,,,,,,,,,,,,,
2014-07,1685,Robbery,,,,,,,,,,,,,,,,
2014-08,1744,Robbery,,,,,,,,,,,,,,,,
2014-09,1743,Robbery,,,,,,,,,,,,,,,,
2014-10,1941,Robbery,,,,,,,,,,,,,,,,
2014-11,1888,Robbery,,,,,,,,,,,,,,,,
2014-12,1848,Robbery,,,,,,,,,,,,,,,,
2015-01,1795,Robbery,,,,,,,,,,,,,,,,
2015-02,1644,Robbery,,,,,,,,,,,,,,,,
2015-03,1862,Robbery,,,,,,,,,,,,,,,,
2015-04,1780,Robbery,,,,,,,,,,,,,,,,
2015-05,1886,Robbery,,,,,,,,,,,,,,,,
2015-06,1711,Robbery,,,,,,,,,,,,,,,,
2015-07,1789,Robbery,,,,,,,,,,,,,,,,
2015-08,1758,Robbery,,,,,,,,,,,,,,,,
2015-09,1721,Robbery,,,,,,,,,,,,,,,,
2015-10,1812,Robbery,,,,,,,,,,,,,,,,
2015-11,1864,Robbery,,,,,,,,,,,,,,,,
2015-12,1755,Robbery,,,,,,,,,,,,,,,,
2016-01,1810,Robbery,,,,,,,,,,,,,,,,
2016-02,1644,Robbery,,,,,,,,,,,,,,,,
2016-03,1710,Robbery,,,,,,,,,,,,,,,,
2016-04,1570,Robbery,,,,,,,,,,,,,,,,
2016-05,1787,Robbery,,,,,,,,,,,,,,,,
2016-06,1885,Robbery,,,,,,,,,,,,,,,,
2016-07,1960,Robbery,,,,,,,,,,,,,,,,
2016-08,1910,Robbery,,,,,,,,,,,,,,,,
2016-09,1980,Robbery,,,,,,,,,,,,,,,,
2016-10,2047,Robbery,,,,,,,,,,,,,,,,
2016-11,1983,Robbery,,,,,,,,,,,,,,,,
2016-12,2238,Robbery,,,,,,,,,,,,,,,,
2017-01,2021,Robbery,,,,,,,,,,,,,,,,
2017-02,1894,Robbery,,,,,,,,,,,,,,,,
2017-03,2503,Robbery,,,,,,,,,,,,,,,,
2017-04,2465,Robbery,,,,,,,,,,,,,,,,
2017-05,2432,Robbery,,,,,,,,,,,,,,,,
2017-06,2464,Robbery,,,,,,,,,,,,,,,,
2017-07,2898,Robbery,,,,,,,,,,,,,,,,
2017-08,2679,Robbery,,,,,,,,,,,,,,,,
2017-09,2711,Robbery,,,,,,,,,,,,,,,,
2017-10,3005,Robbery,,,,,,,,,,,,,,,,
2017-11,3105,Robbery,,,,,,,,,,,,,,,,
2017-12,2775,Robbery,,,,,,,,,,,,,,,,
2018-01,2846,Robbery,,,,,,,,,,,,,,,,
2018-02,2447,Robbery,,,,,,,,,,,,,,,,
2018-03,2560,Robbery,,,,,,,,,,,,,,,,
2018-04,2506,Robbery,,,,,,,,,,,,,,,,
2018-05,2564,Robbery,,,,,,,,,,,,,,,,
2018-06,2832,Robbery,,,,,,,,,,,,,,,,
2018-07,2925,Robbery,,,,,,,,,,,,,,,,
2018-08,2497,Robbery,,,,,,,,,,,,,,,,
2018-09,2599,Robbery,,,,,,,,,,,,,,,,
2018-10,2874,Robbery,,,,,,,,,,,,,,,,
2018-11,2982,Robbery,,,,,,,,,,,,,,,,
2018-12,2945,Robbery,,,,,,,,,,,,,,,,
2011-01,803,Sexual Offences,,,,,,,,,,,,,,,,
2011-02,722,Sexual Offences,,,,,,,,,,,,,,,,
2011-03,851,Sexual Offences,,,,,,,,,,,,,,,,
2011-04,731,Sexual Offences,,,,,,,,,,,,,,,,
2011-05,855,Sexual Offences,,,,,,,,,,,,,,,,
2011-06,864,Sexual Offences,,,,,,,,,,,,,,,,
2011-07,858,Sexual Offences,,,,,,,,,,,,,,,,
2011-08,711,Sexual Offences,,,,,,,,,,,,,,,,
2011-09,791,Sexual Offences,,,,,,,,,,,,,,,,
2011-10,830,Sexual Offences,,,,,,,,,,,,,,,,
2011-11,812,Sexual Offences,,,,,,,,,,,,,,,,
2011-12,624,Sexual Offences,,,,,,,,,,,,,,,,
2012-01,730,Sexual Offences,,,,,,,,,,,,,,,,
2012-02,668,Sexual Offences,,,,,,,,,,,,,,,,
2012-03,725,Sexual Offences,,,,,,,,,,,,,,,,
2012-04,689,Sexual Offences,,,,,,,,,,,,,,,,
2012-05,798,Sexual Offences,,,,,,,,,,,,,,,,
2012-06,720,Sexual Offences,,,,,,,,,,,,,,,,
2012-07,806,Sexual Offences,,,,,,,,,,,,,,,,
2012-08,738,Sexual Offences,,,,,,,,,,,,,,,,
2012-09,686,Sexual Offences,,,,,,,,,,,,,,,,
2012-10,860,Sexual Offences,,,,,,,,,,,,,,,,
2012-11,837,Sexual Offences,,,,,,,,,,,,,,,,
2012-12,709,Sexual Offences,,,,,,,,,,,,,,,,
2013-01,805,Sexual Offences,,,,,,,,,,,,,,,,
2013-02,675,Sexual Offences,,,,,,,,,,,,,,,,
2013-03,654,Sexual Offences,,,,,,,,,,,,,,,,
2013-04,702,Sexual Offences,,,,,,,,,,,,,,,,
2013-05,907,Sexual Offences,,,,,,,,,,,,,,,,
2013-06,820,Sexual Offences,,,,,,,,,,,,,,,,
2013-07,950,Sexual Offences,,,,,,,,,,,,,,,,
2013-08,855,Sexual Offences,,,,,,,,,,,,,,,,
2013-09,826,Sexual Offences,,,,,,,,,,,,,,,,
2013-10,829,Sexual Offences,,,,,,,,,,,,,,,,
2013-11,825,Sexual Offences,,,,,,,,,,,,,,,,
2013-12,887,Sexual Offences,,,,,,,,,,,,,,,,
2014-01,958,Sexual Offences,,,,,,,,,,,,,,,,
2014-02,783,Sexual Offences,,,,,,,,,,,,,,,,
2014-03,964,Sexual Offences,,,,,,,,,,,,,,,,
2014-04,902,Sexual Offences,,,,,,,,,,,,,,,,
2014-05,1015,Sexual Offences,,,,,,,,,,,,,,,,
2014-06,1106,Sexual Offences,,,,,,,,,,,,,,,,
2014-07,1202,Sexual Offences,,,,,,,,,,,,,,,,
2014-08,1153,Sexual Offences,,,,,,,,,,,,,,,,
2014-09,1174,Sexual Offences,,,,,,,,,,,,,,,,
2014-10,1268,Sexual Offences,,,,,,,,,,,,,,,,
2014-11,1123,Sexual Offences,,,,,,,,,,,,,,,,
2014-12,1033,Sexual Offences,,,,,,,,,,,,,,,,
2015-01,1106,Sexual Offences,,,,,,,,,,,,,,,,
2015-02,1080,Sexual Offences,,,,,,,,,,,,,,,,
2015-03,1268,Sexual Offences,,,,,,,,,,,,,,,,
2015-04,1077,Sexual Offences,,,,,,,,,,,,,,,,
2015-05,1246,Sexual Offences,,,,,,,,,,,,,,,,
2015-06,1259,Sexual Offences,,,,,,,,,,,,,,,,
2015-07,1355,Sexual Offences,,,,,,,,,,,,,,,,
2015-08,1172,Sexual Offences,,,,,,,,,,,,,,,,
2015-09,1165,Sexual Offences,,,,,,,,,,,,,,,,
2015-10,1255,Sexual Offences,,,,,,,,,,,,,,,,
2015-11,1320,Sexual Offences,,,,,,,,,,,,,,,,
2015-12,1229,Sexual Offences,,,,,,,,,,,,,,,,
2016-01,1250,Sexual Offences,,,,,,,,,,,,,,,,
2016-02,1242,Sexual Offences,,,,,,,,,,,,,,,,
2016-03,1375,Sexual Offences,,,,,,,,,,,,,,,,
2016-04,1252,Sexual Offences,,,,,,,,,,,,,,,,
2016-05,1419,Sexual Offences,,,,,,,,,,,,,,,,
2016-06,1352,Sexual Offences,,,,,,,,,,,,,,,,
2016-07,1528,Sexual Offences,,,,,,,,,,,,,,,,
2016-08,1276,Sexual Offences,,,,,,,,,,,,,,,,
2016-09,1374,Sexual Offences,,,,,,,,,,,,,,,,
2016-10,1365,Sexual Offences,,,,,,,,,,,,,,,,
2016-11,1281,Sexual Offences,,,,,,,,,,,,,,,,
2016-12,1276,Sexual Offences,,,,,,,,,,,,,,,,
2017-01,1227,Sexual Offences,,,,,,,,,,,,,,,,
2017-02,1281,Sexual Offences,,,,,,,,,,,,,,,,
2017-03,1566,Sexual Offences,,,,,,,,,,,,,,,,
2017-04,1313,Sexual Offences,,,,,,,,,,,,,,,,
2017-05,1523,Sexual Offences,,,,,,,,,,,,,,,,
2017-06,1640,Sexual Offences,,,,,,,,,,,,,,,,
2017-07,1608,Sexual Offences,,,,,,,,,,,,,,,,
2017-08,1512,Sexual Offences,,,,,,,,,,,,,,,,
2017-09,1496,Sexual Offences,,,,,,,,,,,,,,,,
2017-10,1585,Sexual Offences,,,,,,,,,,,,,,,,
2017-11,1656,Sexual Offences,,,,,,,,,,,,,,,,
2017-12,1333,Sexual Offences,,,,,,,,,,,,,,,,
2018-01,1485,Sexual Offences,,,,,,,,,,,,,,,,
2018-02,1329,Sexual Offences,,,,,,,,,,,,,,,,
2018-03,1501,Sexual Offences,,,,,,,,,,,,,,,,
2018-04,1415,Sexual Offences,,,,,,,,,,,,,,,,
2018-05,1550,Sexual Offences,,,,,,,,,,,,,,,,
2018-06,1645,Sexual Offences,,,,,,,,,,,,,,,,
2018-07,1811,Sexual Offences,,,,,,,,,,,,,,,,
2018-08,1440,Sexual Offences,,,,,,,,,,,,,,,,
2018-09,1542,Sexual Offences,,,,,,,,,,,,,,,,
2018-10,1585,Sexual Offences,,,,,,,,,,,,,,,,
2018-11,1516,Sexual Offences,,,,,,,,,,,,,,,,
2018-12,1302,Sexual Offences,,,,,,,,,,,,,,,,
2011-01,22433,Theft and Handling,,,,,,,,,,,,,,,,
2011-02,21531,Theft and Handling,,,,,,,,,,,,,,,,
2011-03,24377,Theft and Handling,,,,,,,,,,,,,,,,
2011-04,22812,Theft and Handling,,,,,,,,,,,,,,,,
2011-05,25415,Theft and Handling,,,,,,,,,,,,,,,,
2011-06,24697,Theft and Handling,,,,,,,,,,,,,,,,
2011-07,23912,Theft and Handling,,,,,,,,,,,,,,,,
2011-08,22556,Theft and Handling,,,,,,,,,,,,,,,,
2011-09,21521,Theft and Handling,,,,,,,,,,,,,,,,
2011-10,23111,Theft and Handling,,,,,,,,,,,,,,,,
2011-11,23289,Theft and Handling,,,,,,,,,,,,,,,,
2011-12,21442,Theft and Handling,,,,,,,,,,,,,,,,
2012-01,22484,Theft and Handling,,,,,,,,,,,,,,,,
2012-02,20677,Theft and Handling,,,,,,,,,,,,,,,,
2012-03,25495,Theft and Handling,,,,,,,,,,,,,,,,
2012-04,25165,Theft and Handling,,,,,,,,,,,,,,,,
2012-05,28040,Theft and Handling,,,,,,,,,,,,,,,,
2012-06,26225,Theft and Handling,,,,,,,,,,,,,,,,
2012-07,26806,Theft and Handling,,,,,,,,,,,,,,,,
2012-08,25240,Theft and Handling,,,,,,,,,,,,,,,,
2012-09,23329,Theft and Handling,,,,,,,,,,,,,,,,
2012-10,26708,Theft and Handling,,,,,,,,,,,,,,,,
2012-11,27027,Theft and Handling,,,,,,,,,,,,,,,,
2012-12,25616,Theft and Handling,,,,,,,,,,,,,,,,
2013-01,25551,Theft and Handling,,,,,,,,,,,,,,,,
2013-02,24376,Theft and Handling,,,,,,,,,,,,,,,,
2013-03,24968,Theft and Handling,,,,,,,,,,,,,,,,
2013-04,23978,Theft and Handling,,,,,,,,,,,,,,,,
2013-05,23568,Theft and Handling,,,,,,,,,,,,,,,,
2013-06,23882,Theft and Handling,,,,,,,,,,,,,,,,
2013-07,24635,Theft and Handling,,,,,,,,,,,,,,,,
2013-08,23738,Theft and Handling,,,,,,,,,,,,,,,,
2013-09,23089,Theft and Handling,,,,,,,,,,,,,,,,
2013-10,25090,Theft and Handling,,,,,,,,,,,,,,,,
2013-11,23579,Theft and Handling,,,,,,,,,,,,,,,,
2013-12,22007,Theft and Handling,,,,,,,,,,,,,,,,
2014-01,22344,Theft and Handling,,,,,,,,,,,,,,,,
2014-02,20843,Theft and Handling,,,,,,,,,,,,,,,,
2014-03,23128,Theft and Handling,,,,,,,,,,,,,,,,
2014-04,21286,Theft and Handling,,,,,,,,,,,,,,,,
2014-05,21921,Theft and Handling,,,,,,,,,,,,,,,,
2014-06,21853,Theft and Handling,,,,,,,,,,,,,,,,
2014-07,21774,Theft and Handling,,,,,,,,,,,,,,,,
2014-08,20884,Theft and Handling,,,,,,,,,,,,,,,,
2014-09,21361,Theft and Handling,,,,,,,,,,,,,,,,
2014-10,22740,Theft and Handling,,,,,,,,,,,,,,,,
2014-11,22456,Theft and Handling,,,,,,,,,,,,,,,,
2014-12,22318,Theft and Handling,,,,,,,,,,,,,,,,
2015-01,22014,Theft and Handling,,,,,,,,,,,,,,,,
2015-02,20271,Theft and Handling,,,,,,,,,,,,,,,,
2015-03,23236,Theft and Handling,,,,,,,,,,,,,,,,
2015-04,23162,Theft and Handling,,,,,,,,,,,,,,,,
2015-05,24800,Theft and Handling,,,,,,,,,,,,,,,,
2015-06,24623,Theft and Handling,,,,,,,,,,,,,,,,
2015-07,24315,Theft and Handling,,,,,,,,,,,,,,,,
2015-08,22596,Theft and Handling,,,,,,,,,,,,,,,,
2015-09,22591,Theft and Handling,,,,,,,,,,,,,,,,
2015-10,24469,Theft and Handling,,,,,,,,,,,,,,,,
2015-11,24710,Theft and Handling,,,,,,,,,,,,,,,,
2015-12,23952,Theft and Handling,,,,,,,,,,,,,,,,
2016-01,22309,Theft and Handling,,,,,,,,,,,,,,,,
2016-02,22022,Theft and Handling,,,,,,,,,,,,,,,,
2016-03,23109,Theft and Handling,,,,,,,,,,,,,,,,
2016-04,23142,Theft and Handling,,,,,,,,,,,,,,,,
2016-05,25367,Theft and Handling,,,,,,,,,,,,,,,,
2016-06,24717,Theft and Handling,,,,,,,,,,,,,,,,
2016-07,25830,Theft and Handling,,,,,,,,,,,,,,,,
2016-08,25161,Theft and Handling,,,,,,,,,,,,,,,,
2016-09,24985,Theft and Handling,,,,,,,,,,,,,,,,
2016-10,26290,Theft and Handling,,,,,,,,,,,,,,,,
2016-11,25376,Theft and Handling,,,,,,,,,,,,,,,,
2016-12,25698,Theft and Handling,,,,,,,,,,,,,,,,
2017-01,22906,Theft and Handling,,,,,,,,,,,,,,,,
2017-02,22725,Theft and Handling,,,,,,,,,,,,,,,,
2017-03,26814,Theft and Handling,,,,,,,,,,,,,,,,
2017-04,25034,Theft and Handling,,,,,,,,,,,,,,,,
2017-05,27353,Theft and Handling,,,,,,,,,,,,,,,,
2017-06,26079,Theft and Handling,,,,,,,,,,,,,,,,
2017-07,27741,Theft and Handling,,,,,,,,,,,,,,,,
2017-08,27279,Theft and Handling,,,,,,,,,,,,,,,,
2017-09,26191,Theft and Handling,,,,,,,,,,,,,,,,
2017-10,27020,Theft and Handling,,,,,,,,,,,,,,,,
2017-11,27165,Theft and Handling,,,,,,,,,,,,,,,,
2017-12,24802,Theft and Handling,,,,,,,,,,,,,,,,
2018-01,25400,Theft and Handling,,,,,,,,,,,,,,,,
2018-02,23537,Theft and Handling,,,,,,,,,,,,,,,,
2018-03,24580,Theft and Handling,,,,,,,,,,,,,,,,
2018-04,24758,Theft and Handling,,,,,,,,,,,,,,,,
2018-05,25674,Theft and Handling,,,,,,,,,,,,,,,,
2018-06,25740,Theft and Handling,,,,,,,,,,,,,,,,
2018-07,27068,Theft and Handling,,,,,,,,,,,,,,,,
2018-08,26014,Theft and Handling,,,,,,,,,,,,,,,,
2018-09,26272,Theft and Handling,,,,,,,,,,,,,,,,
2018-10,28810,Theft and Handling,,,,,,,,,,,,,,,,
2018-11,28746,Theft and Handling,,,,,,,,,,,,,,,,
2018-12,27268,Theft and Handling,,,,,,,,,,,,,,,,
2011-01,12536,Violence Against The Person,,,,,,,,,,,,,,,,
2011-02,11807,Violence Against The Person,,,,,,,,,,,,,,,,
2011-03,13039,Violence Against The Person,,,,,,,,,,,,,,,,
2011-04,13187,Violence Against The Person,,,,,,,,,,,,,,,,
2011-05,13400,Violence Against The Person,,,,,,,,,,,,,,,,
2011-06,13385,Violence Against The Person,,,,,,,,,,,,,,,,
2011-07,13736,Violence Against The Person,,,,,,,,,,,,,,,,
2011-08,12660,Violence Against The Person,,,,,,,,,,,,,,,,
2011-09,12307,Violence Against The Person,,,,,,,,,,,,,,,,
2011-10,13101,Violence Against The Person,,,,,,,,,,,,,,,,
2011-11,12481,Violence Against The Person,,,,,,,,,,,,,,,,
2011-12,11616,Violence Against The Person,,,,,,,,,,,,,,,,
2012-01,11853,Violence Against The Person,,,,,,,,,,,,,,,,
2012-02,11086,Violence Against The Person,,,,,,,,,,,,,,,,
2012-03,12971,Violence Against The Person,,,,,,,,,,,,,,,,
2012-04,11973,Violence Against The Person,,,,,,,,,,,,,,,,
2012-05,13671,Violence Against The Person,,,,,,,,,,,,,,,,
2012-06,12984,Violence Against The Person,,,,,,,,,,,,,,,,
2012-07,13590,Violence Against The Person,,,,,,,,,,,,,,,,
2012-08,13539,Violence Against The Person,,,,,,,,,,,,,,,,
2012-09,12331,Violence Against The Person,,,,,,,,,,,,,,,,
2012-10,12440,Violence Against The Person,,,,,,,,,,,,,,,,
2012-11,12036,Violence Against The Person,,,,,,,,,,,,,,,,
2012-12,12004,Violence Against The Person,,,,,,,,,,,,,,,,
2013-01,11417,Violence Against The Person,,,,,,,,,,,,,,,,
2013-02,10375,Violence Against The Person,,,,,,,,,,,,,,,,
2013-03,11685,Violence Against The Person,,,,,,,,,,,,,,,,
2013-04,11476,Violence Against The Person,,,,,,,,,,,,,,,,
2013-05,12361,Violence Against The Person,,,,,,,,,,,,,,,,
2013-06,12482,Violence Against The Person,,,,,,,,,,,,,,,,
2013-07,14034,Violence Against The Person,,,,,,,,,,,,,,,,
2013-08,12535,Violence Against The Person,,,,,,,,,,,,,,,,
2013-09,11870,Violence Against The Person,,,,,,,,,,,,,,,,
2013-10,12982,Violence Against The Person,,,,,,,,,,,,,,,,
2013-11,12836,Violence Against The Person,,,,,,,,,,,,,,,,
2013-12,12711,Violence Against The Person,,,,,,,,,,,,,,,,
2014-01,12771,Violence Against The Person,,,,,,,,,,,,,,,,
2014-02,12090,Violence Against The Person,,,,,,,,,,,,,,,,
2014-03,14437,Violence Against The Person,,,,,,,,,,,,,,,,
2014-04,13615,Violence Against The Person,,,,,,,,,,,,,,,,
2014-05,15396,Violence Against The Person,,,,,,,,,,,,,,,,
2014-06,16487,Violence Against The Person,,,,,,,,,,,,,,,,
2014-07,17435,Violence Against The Person,,,,,,,,,,,,,,,,
2014-08,15801,Violence Against The Person,,,,,,,,,,,,,,,,
2014-09,16746,Violence Against The Person,,,,,,,,,,,,,,,,
2014-10,17293,Violence Against The Person,,,,,,,,,,,,,,,,
2014-11,17090,Violence Against The Person,,,,,,,,,,,,,,,,
2014-12,16382,Violence Against The Person,,,,,,,,,,,,,,,,
2015-01,16186,Violence Against The Person,,,,,,,,,,,,,,,,
2015-02,15458,Violence Against The Person,,,,,,,,,,,,,,,,
2015-03,17658,Violence Against The Person,,,,,,,,,,,,,,,,
2015-04,16576,Violence Against The Person,,,,,,,,,,,,,,,,
2015-05,18979,Violence Against The Person,,,,,,,,,,,,,,,,
2015-06,19150,Violence Against The Person,,,,,,,,,,,,,,,,
2015-07,19735,Violence Against The Person,,,,,,,,,,,,,,,,
2015-08,18478,Violence Against The Person,,,,,,,,,,,,,,,,
2015-09,18287,Violence Against The Person,,,,,,,,,,,,,,,,
2015-10,19869,Violence Against The Person,,,,,,,,,,,,,,,,
2015-11,19257,Violence Against The Person,,,,,,,,,,,,,,,,
2015-12,19080,Violence Against The Person,,,,,,,,,,,,,,,,
2016-01,18262,Violence Against The Person,,,,,,,,,,,,,,,,
2016-02,17640,Violence Against The Person,,,,,,,,,,,,,,,,
2016-03,18862,Violence Against The Person,,,,,,,,,,,,,,,,
2016-04,18664,Violence Against The Person,,,,,,,,,,,,,,,,
2016-05,20637,Violence Against The Person,,,,,,,,,,,,,,,,
2016-06,20462,Violence Against The Person,,,,,,,,,,,,,,,,
2016-07,21728,Violence Against The Person,,,,,,,,,,,,,,,,
2016-08,19761,Violence Against The Person,,,,,,,,,,,,,,,,
2016-09,19531,Violence Against The Person,,,,,,,,,,,,,,,,
2016-10,19587,Violence Against The Person,,,,,,,,,,,,,,,,
2016-11,18440,Violence Against The Person,,,,,,,,,,,,,,,,
2016-12,18781,Violence Against The Person,,,,,,,,,,,,,,,,
2017-01,17947,Violence Against The Person,,,,,,,,,,,,,,,,
2017-02,17649,Violence Against The Person,,,,,,,,,,,,,,,,
2017-03,21060,Violence Against The Person,,,,,,,,,,,,,,,,
2017-04,19359,Violence Against The Person,,,,,,,,,,,,,,,,
2017-05,21672,Violence Against The Person,,,,,,,,,,,,,,,,
2017-06,22581,Violence Against The Person,,,,,,,,,,,,,,,,
2017-07,22946,Violence Against The Person,,,,,,,,,,,,,,,,
2017-08,20180,Violence Against The Person,,,,,,,,,,,,,,,,
2017-09,20068,Violence Against The Person,,,,,,,,,,,,,,,,
2017-10,21894,Violence Against The Person,,,,,,,,,,,,,,,,
2017-11,20661,Violence Against The Person,,,,,,,,,,,,,,,,
2017-12,19413,Violence Against The Person,,,,,,,,,,,,,,,,
2018-01,19735,Violence Against The Person,,,,,,,,,,,,,,,,
2018-02,17850,Violence Against The Person,,,,,,,,,,,,,,,,
2018-03,20786,Violence Against The Person,,,,,,,,,,,,,,,,
2018-04,20240,Violence Against The Person,,,,,,,,,,,,,,,,
2018-05,23030,Violence Against The Person,,,,,,,,,,,,,,,,
2018-06,22795,Violence Against The Person,,,,,,,,,,,,,,,,
2018-07,24685,Violence Against The Person,,,,,,,,,,,,,,,,
2018-08,20862,Violence Against The Person,,,,,,,,,,,,,,,,
2018-09,20944,Violence Against The Person,,,,,,,,,,,,,,,,
2018-10,21624,Violence Against The Person,,,,,,,,,,,,,,,,
2018-11,21218,Violence Against The Person,,,,,,,,,,,,,,,,
2018-12,21203,Violence Against The Person,,,,,,,,,,,,,,,,
